resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,stage_op,stage_cycles,stage_energy_mj,total_cycles,total_energy_mj,latency_share_pct,energy_share_pct
1080p,1920,1080,128,128,3,64,1024,800.0,os,sobel,4402335.0,2.4438849599999997,8802135.0,4.66485144,50.01439991547505,52.389341685016234
1080p,1920,1080,128,128,3,64,1024,800.0,ws,gaussian,2141595.0,3.522378555,4285725.0,7.266223665,49.970425073937314,48.47605465224831
1080p,1920,1080,128,128,3,64,1024,800.0,ws,sobel,2144130.0,3.74384511,4285725.0,7.266223665,50.02957492606268,51.5239453477517
1080p,1920,1080,128,128,3,64,4096,50.0,os,gaussian,4788615.0,2.2118914800000002,9618735.0,4.64670144,49.78424917621704,47.601325554499155
1080p,1920,1080,128,128,3,64,4096,50.0,os,sobel,4830120.0,2.43480996,9618735.0,4.64670144,50.215750823782955,52.398674445500845
1080p,1920,1080,128,128,3,64,4096,50.0,ws,gaussian,4542900.0,12.334878555,9127305.0,24.891223665,49.77263277604945,49.55513124227917
1080p,1920,1080,128,128,3,64,4096,50.0,ws,sobel,4584405.0,12.55634511,9127305.0,24.891223665,50.227367223950544,50.44486875772084
1080p,1920,1080,128,128,3,64,4096,200.0,os,gaussian,4477515.0,2.21316648,8965410.0,4.6492514400000005,49.942110846018196,47.60264116840279
1080p,1920,1080,128,128,3,64,4096,200.0,os,sobel,4487895.0,2.43608496,8965410.0,4.6492514400000005,50.057889153981804,52.397358831597195
1080p,1920,1080,128,128,3,64,4096,200.0,ws,gaussian,2710050.0,12.336678555,5430480.0,24.894823665,49.90442833782649,49.55519557402738
1080p,1920,1080,128,128,3,64,4096,200.0,ws,sobel,2720430.0,12.55814511,5430480.0,24.894823665,50.09557166217351,50.44480442597262
1080p,1920,1080,128,128,3,64,4096,800.0,os,gaussian,4399800.0,2.22096648,8802135.0,4.66485144,49.98560008452495,47.61065831498377
1080p,1920,1080,128,128,3,64,4096,800.0,os,sobel,4402335.0,2.4438849599999997,8802135.0,4.66485144,50.01439991547505,52.389341685016234
1080p,1920,1080,128,128,3,64,4096,800.0,ws,gaussian,2251845.0,12.342378555,4506225.0,24.906223665,49.97187224339664,49.55539916853951
1080p,1920,1080,128,128,3,64,4096,800.0,ws,sobel,2254380.0,12.563845109999999,4506225.0,24.906223665,50.02812775660337,50.4446008314605
1080p,1920,1080,128,128,3,128,256,50.0,os,gaussian,4460880.0,9.717537479999999,8963265.0,19.65726444,49.768471645098074,49.43484130083768
1080p,1920,1080,128,128,3,128,256,50.0,os,sobel,4502385.0,9.93972696,8963265.0,19.65726444,50.231528354901926,50.56515869916232
1080p,1920,1080,128,128,3,128,256,50.0,ws,gaussian,2325450.0,2.628078555,4692405.0,5.477623665,49.557742777957145,47.978443130229174
1080p,1920,1080,128,128,3,128,256,50.0,ws,sobel,2366955.0,2.84954511,4692405.0,5.477623665,50.442257222042855,52.021556869770826
1080p,1920,1080,128,128,3,128,256,200.0,os,gaussian,4310535.0,9.733437480000001,8631450.0,19.689064440000003,49.93987105295171,49.435754094164565
1080p,1920,1080,128,128,3,128,256,200.0,os,sobel,4320915.0,9.95562696,8631450.0,19.689064440000003,50.0601289470483,50.56424590583543
1080p,1920,1080,128,128,3,128,256,200.0,ws,gaussian,2175105.0,2.6319785550000003,4360590.0,5.485423665000001,49.88097940874973,47.98131768369071
1080p,1920,1080,128,128,3,128,256,200.0,ws,sobel,2185485.0,2.85344511,4360590.0,5.485423665000001,50.11902059125026,52.01868231630928
1080p,1920,1080,128,128,3,128,256,800.0,os,gaussian,4272975.0,9.77063748,8548485.0,19.76346444,49.98517281132271,49.437878210385264
1080p,1920,1080,128,128,3,128,256,800.0,os,sobel,4275510.0,9.99282696,8548485.0,19.76346444,50.01482718867729,50.562121789614736
1080p,1920,1080,128,128,3,128,256,800.0,ws,gaussian,2137545.0,2.645178555,4277625.0,5.5118236650000005,49.97036907162269,47.990986573043784
1080p,1920,1080,128,128,3,128,256,800.0,ws,sobel,2140080.0,2.8666451100000003,4277625.0,5.5118236650000005,50.02963092837731,52.009013426956216
1080p,1920,1080,128,128,3,128,1024,50.0,os,gaussian,4675215.0,2.21926248,9391935.0,4.66071444,49.77903914369083,47.61635814787228
1080p,1920,1080,128,128,3,128,1024,50.0,os,sobel,4716720.0,2.44145196,9391935.0,4.66071444,50.22096085630916,52.383641852127724
1080p,1920,1080,128,128,3,128,1024,50.0,ws,gaussian,2803755.0,3.517653555,5649015.0,7.256773665,49.63263507000778,48.47407012245572
1080p,1920,1080,128,128,3,128,1024,50.0,ws,sobel,2845260.0,3.73912011,5649015.0,7.256773665,50.36736492999222,51.525929877544286
1080p,1920,1080,128,128,3,128,1024,200.0,os,gaussian,4364115.0,2.22053748,8738610.0,4.66326444,49.94060840339596,47.61766158815561
1080p,1920,1080,128,128,3,128,1024,200.0,os,sobel,4374495.0,2.44272696,8738610.0,4.66326444,50.059391596604044,52.38233841184439
1080p,1920,1080,128,128,3,128,1024,200.0,ws,gaussian,2294715.0,3.519678555,4599810.0,7.260823665,49.88716925264304,48.47492126776501
1080p,1920,1080,128,128,3,128,1024,200.0,ws,sobel,2305095.0,3.74114511,4599810.0,7.260823665,50.11283074735695,51.52507873223499
1080p,1920,1080,128,128,3,128,1024,800.0,os,gaussian,4286400.0,2.23103748,8575335.0,4.68426444,49.98521923633304,47.62834183631187
1080p,1920,1080,128,128,3,128,1024,800.0,os,sobel,4288935.0,2.45322696,8575335.0,4.68426444,50.014780763666955,52.37165816368813
1080p,1920,1080,128,128,3,128,1024,800.0,ws,gaussian,2167515.0,3.533178555,4337565.0,7.287823665,49.97077853588362,48.48057139428606
1080p,1920,1080,128,128,3,128,1024,800.0,ws,sobel,2170050.0,3.7546451100000002,4337565.0,7.287823665,50.02922146411639,51.519428605713934
1080p,1920,1080,128,128,3,128,4096,50.0,os,gaussian,4675215.0,2.21926248,9391935.0,4.66071444,49.77903914369083,47.61635814787228
1080p,1920,1080,128,128,3,128,4096,50.0,os,sobel,4716720.0,2.44145196,9391935.0,4.66071444,50.22096085630916,52.383641852127724
1080p,1920,1080,128,128,3,128,4096,50.0,ws,gaussian,4706445.0,13.031103555,9454395.0,26.283673665000002,49.78049891082401,49.57869938992792
1080p,1920,1080,128,128,3,128,4096,50.0,ws,sobel,4747950.0,13.25257011,9454395.0,26.283673665000002,50.21950108917599,50.42130061007208
1080p,1920,1080,128,128,3,128,4096,200.0,os,gaussian,4364115.0,2.22053748,8738610.0,4.66326444,49.94060840339596,47.61766158815561
