resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,stage,stage_op,component,action,count
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,gaussian_k5,gaussian,accelerator.ofmap_sram,write,7864320.0
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,gaussian_k5,gaussian,accelerator.ifmap_dram,read,62916000.0
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,gaussian_k5,gaussian,accelerator.filter_dram,read,24000.0
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,gaussian_k5,gaussian,accelerator.ofmap_dram,write,7864320.0
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,sobel_3x3,sobel,accelerator.mac_array,mac,35389440.0
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,sobel_3x3,sobel,accelerator.ifmap_sram,read,17694720.0
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,sobel_3x3,sobel,accelerator.filter_sram,read,2160.0
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,sobel_3x3,sobel,accelerator.ofmap_sram,write,7864320.0
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,sobel_3x3,sobel,accelerator.ifmap_dram,read,31458000.0
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,sobel_3x3,sobel,accelerator.filter_dram,read,12000.0
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,sobel_3x3,sobel,accelerator.ofmap_dram,write,7864320.0
hires,2048,2048,128,128,5,8,4096,50.0,ws,run_008616d3aa27,ee813da35519,fe6b2ca92c19,full,gaussian_k5,gaussian,accelerator.mac_array,mac,104857600.0
hires,2048,2048,128,128,5,8,4096,50.0,ws,run_008616d3aa27,ee813da35519,fe6b2ca92c19,full,gaussian_k5,gaussian,accelerator.ifmap_sram,read,104857600.0
hires,2048,2048,128,128,5,8,4096,50.0,ws,run_008616d3aa27,ee813da35519,fe6b2ca92c19,full,gaussian_k5,gaussian,accelerator.filter_sram,read,6400.0
hires,2048,2048,128,128,5,8,4096,50.0,ws,run_008616d3aa27,ee813da35519,fe6b2ca92c19,full,gaussian_k5,gaussian,accelerator.ofmap_sram,write,16777216.0
hires,2048,2048,128,128,5,8,4096,50.0,ws,run_008616d3aa27,ee813da35519,fe6b2ca92c19,full,gaussian_k5,gaussian,accelerator.ifmap_dram,read,134220800.0
hires,2048,2048,128,128,5,8,4096,50.0,ws,run_008616d3aa27,ee813da35519,fe6b2ca92c19,full,gaussian_k5,gaussian,accelerator.filter_dram,read,51200.0
hires,2048,2048,128,128,5,8,4096,50.0,ws,run_008616d3aa27,ee813da35519,fe6b2ca92c19,full,gaussian_k5,gaussian,accelerator.ofmap_dram,write,16777216.0
hires,2048,2048,128,128,5,8,4096,50.0,ws,run_008616d3aa27,ee813da35519,fe6b2ca92c19,full,sobel_3x3,sobel,accelerator.mac_array,mac,75497472.0
